Index,Country,Year,Value,Rank
GKI,Austria,2017,63,9
GII,Austria,2017,53.1,9
EIS,Austria,2017,123.961,6
DESI,Austria,2017,42.590775,10
GKI,Belgium,2017,64,6
GII,Belgium,2017,49.9,13
EIS,Belgium,2017,123.688,8
DESI,Belgium,2017,41.576925,11
GKI,Bulgaria,2017,47,27
GII,Bulgaria,2017,42.8,21
EIS,Bulgaria,2017,45.904,26
DESI,Bulgaria,2017,28.105425,25
GKI,Croatia,2017,53,19
GII,Croatia,2017,39.8,25
EIS,Croatia,2017,61.453,23
DESI,Croatia,2017,33.125675,20
GKI,Cyprus,2017,52.6,24
GII,Cyprus,2017,46.8,16
EIS,Cyprus,2017,79.085,17
DESI,Cyprus,2017,32.029225,22
GKI,Czechia,2017,57,14
GII,Czechia,2017,51,10
EIS,Czechia,2017,81.71,16
DESI,Czechia,2017,34.90935,18
GKI,Denmark,2017,65,5
GII,Denmark,2017,58.7,3
EIS,Denmark,2017,134.52,2
DESI,Denmark,2017,53.3268,1
GKI,Estonia,2017,60,11
GII,Estonia,2017,50.9,11
EIS,Estonia,2017,78.834,18
DESI,Estonia,2017,46.50065,6
GKI,Finland,2017,68.5,1
GII,Finland,2017,58.5,4
EIS,Finland,2017,125.656,5
DESI,Finland,2017,52.063675,2
GKI,France,2017,62,10
GII,France,2017,54.2,8
EIS,France,2017,115.57,10
DESI,France,2017,37.985475,17
GKI,Germany,2017,63.9,8
GII,Germany,2017,58.4,5
EIS,Germany,2017,120.414,9
DESI,Germany,2017,39.937425,15
GKI,Greece,2017,49,25
GII,Greece,2017,38.8,27
EIS,Greece,2017,64.747,22
DESI,Greece,2017,25.9962,26
GKI,Hungary,2017,52.7,23
GII,Hungary,2017,41.7,23
EIS,Hungary,2017,68.482,20
DESI,Hungary,2017,31.633,23
GKI,Ireland,2017,64,7
GII,Ireland,2017,58.1,6
EIS,Ireland,2017,123.88,7
DESI,Ireland,2017,43.3228,8
GKI,Italy,2017,56.6,16
GII,Italy,2017,47,15
EIS,Italy,2017,83.559,15
DESI,Italy,2017,32.7655,21
GKI,Latvia,2017,52.9,20
GII,Latvia,2017,44.6,19
EIS,Latvia,2017,52.977,25
DESI,Latvia,2017,40.893275,12
GKI,Lithuania,2017,54,18
GII,Lithuania,2017,41.2,24
EIS,Lithuania,2017,73.894,19
DESI,Lithuania,2017,40.367125,14
GKI,Luxembourg,2017,66,4
GII,Luxembourg,2017,56.4,7
EIS,Luxembourg,2017,128.759,4
DESI,Luxembourg,2017,47.27475,5
GKI,Malta,2017,59,12
GII,Malta,2017,50.6,12
EIS,Malta,2017,84.245,14
DESI,Malta,2017,45.171925,7
GKI,Netherlands,2017,68,2
GII,Netherlands,2017,63.4,2
EIS,Netherlands,2017,132.335,3
DESI,Netherlands,2017,49.053175,4
GKI,Poland,2017,52.9,21
GII,Poland,2017,42,22
EIS,Poland,2017,56.425,24
DESI,Poland,2017,28.80925,24
GKI,Portugal,2017,57.6,13
GII,Portugal,2017,46.1,17
EIS,Portugal,2017,85.016,13
DESI,Portugal,2017,39.284525,16
GKI,Romania,2017,47.5,26
GII,Romania,2017,39.2,26
EIS,Romania,2017,35.416,27
DESI,Romania,2017,23.209525,27
GKI,Slovakia,2017,52.8,22
GII,Slovakia,2017,43.4,20
EIS,Slovakia,2017,66.076,21
DESI,Slovakia,2017,33.3889,19
GKI,Slovenia,2017,57,15
GII,Slovenia,2017,45.8,18
EIS,Slovenia,2017,98.081,11
DESI,Slovenia,2017,40.52685,13
GKI,Spain,2017,55.9,17
GII,Spain,2017,48.8,14
EIS,Spain,2017,88.157,12
DESI,Spain,2017,42.940825,9
GKI,Sweden,2017,68,3
